File,Aleph system no.,Author,Title,Language,Location,Date,DOM ID,Type,Genre
nogenre.xlsx,014602838,"Brabant, Henry",The Eve of the Revolution; in Newcastle-upon-Tyne.,eng,Newcastle,1848,lsidyv2eb12704,,
nogenre.xlsx,014602843,Uncle Tim,Tom Cladpole's Jurney to Lunnun... told by himself and written in pure Sussex doggerel by his Uncle Tim. The fifth thousand.,eng,Lewes,1887,lsidyv2eb1c3cd,,
nogenre.xlsx,014602844,"Coleridge, Samuel Taylor","Christabel: Kubla Khan, a vision; The Pains of Sleep.",eng,London,1816,lsidyv2eb110f9,,
nogenre.xlsx,014602865,"Napoleon I, Emperor Of The French","The Bonaparteid; or, a serio-comic sketch of the political life and adventures of the renowned Napoleon Bonaparte, etc.",eng,London,1816,lsidyv2eb0fb10,,
nogenre.xlsx,014602866,"P., A. W. A","The Battle of Talking; or, Don't ye wish ye may get it? A metrical version of the Home Rule Debates",eng,Dublin,1886,lsidyv2eb1b5ed,,
nogenre.xlsx,014602869,,"Versified Suggestive Illustration, on the ascendency of Peacock throne suited to Prince Albert Victor of Wales, etc.",eng,Chittagong,1890,lsidyv2eb15530,,
nogenre.xlsx,014602887,,Sappho's Soliloquy: a lament of unrequited love.,eng,London,1886,lsidyv2eb1de33,,
nogenre.xlsx,014602891,"Beattie, James",The Minstrel; or the Progress of Genius... The second book.,eng,London,1774,lsidyv2eb20209,,
nogenre.xlsx,014602892,"Blackwell, Anna",A Vision.,eng,London,1898,lsidyv2eb21eed,,
nogenre.xlsx,014602899,"Mason, William","An Heroic Postscript to the public, occasioned by their favourable reception of a late Heroic Epistle to Sir William Chambers...",eng,London,1774,lsidyv2eb21b3b,,
nogenre.xlsx,014602931,"Thomson, John, Bookseller, Of Glasgow",The Secret of the British Constitution and Empire; with a solution of the political problem and a treatise on paper money.,eng,John,1886,lsidyv2eb1e2fc,,
nogenre.xlsx,014602962,"Hull, Thomas",Elisha: or the Woman of Shunem. A new sacred oratorio.,eng,London,1801,lsidyv2eb27af9,,
nogenre.xlsx,014602966,,The Farmer's Return from London. An interlude,eng,London,1762,lsidyv2eb25f39,,
nogenre.xlsx,014602967,,"A ballad on the death of Louis the Unfortunate, after the manner of Chevy Chase. A description of the appearance of Marie Antoinette's ghost before the Convention. A sonnet on the French atheistical motto, “Death is an eternal sleep.” And an ode on Greatness.",eng,Bristol,1793,lsidyv2eb2e720,,
nogenre.xlsx,014602969,,"The Madman, a burletta. Performed at Marybone Gardens.",eng,London,1770,lsidyv2eb26e0b,,
nogenre.xlsx,014602970,,"Mantuan English'd, and Paraphras'd: or, the character of a bad woman.",eng,,1690,lsidyv2eb2b4d6,,
nogenre.xlsx,014602973,"Mozart, Wolfgang Amadeus","The Requiem, or Grand Funeral Anthem, composed by W. A. Mozart,... and L'Allegro, Il Pensieroso, written by Milton, and composed by G. F. Handel, as performed under the direction of Mr. Ashley, at the Theatre Royal, Covent Garden, during Lent 1801.",eng,London,1801,lsidyv2eb27fdb,,
nogenre.xlsx,014602975,,"The Dying Negro... Second edition, with additions.",eng,London,1774,lsidyv2eb2e4bf,,
nogenre.xlsx,014602976,"O'byrne, George Aloysius","Robert Browning.-In memoriam... An epicedium, etc.",eng,Nottingham,1889,lsidyv2eb2ac38,,
nogenre.xlsx,014602981,,"The Rape of the Vineyard; or, mock-heroic stanzas on the mock-heroic Expedition. Dedicated to... W- P-t Esquire.",eng,London,1757,lsidyv2eb2b970,,
nogenre.xlsx,014602985,,"Biographical and Miscellaneous Sonnets, written in 1880-82.",eng,London,1883,lsidyv2eb292c3,,
nogenre.xlsx,014602986,,Sonnets.,eng,London,1884,lsidyv2eb29405,,
nogenre.xlsx,014602987,,"The State-farce: a lyrick. Written at Clermont, and inscribed to His Grace the Duke of Newcastle.",eng,London,1756,lsidyv2eb2b90e,,
nogenre.xlsx,014603002,,"A collection of twenty-two memorial cards, published on the occasion of the death of Princess Charlotte.",eng,,1817,lsidyv2eb332a6,,
nogenre.xlsx,014603005,"D., P. P. D",On Lord Nelson's Victory over the French Fleet at Abouquir. An idyl.,eng,Pisa,1798,lsidyv2eb34acd,,
nogenre.xlsx,014603024,"Lennard, J. E",Humour and Sentimentalism versified.,eng,Port,1894,lsidyv2eb33f4b,,
nogenre.xlsx,014603027,,Two more horrible murders in the East-End.,eng,,1889,lsidyv2eb31a63,,
nogenre.xlsx,014603028,"Garrick, David",Miss in her Teens.... Sixth edition.,eng,London,1777,lsidyv2eb342b8,,
